2024-06-13 15:20:38,120 Starting bot
2024-06-13 15:20:41,659 Starting threads
2024-06-13 15:20:41,663 Starting main loop
2024-06-13 15:20:41,663 Game region: (0, 0, 1616, 939)
2024-06-13 15:20:46,975 Detected game mode/map None 
2024-06-13 15:20:52,843 Detected game mode/map 4 SAHA
2024-06-13 15:21:29,525 Attacking (166, 448) of distance 761.8989434301639 away
2024-06-13 15:21:29,635 Attacking (170, 458) of distance 753.8600665906106 away
2024-06-13 15:21:29,746 Attacking (183, 480) of distance 738.2194795587557 away
2024-06-13 15:21:29,753 Moving to hill: (224, 595)
2024-06-13 15:21:29,852 Attacking (188, 491) of distance 730.1540933255117 away
2024-06-13 15:21:29,960 Attacking (195, 509) of distance 722.0006925204435 away
2024-06-13 15:21:30,067 Attacking (200, 515) of distance 716.0062848886175 away
2024-06-13 15:21:30,134 Moving to hill: (181, 639)
2024-06-13 15:21:30,176 Attacking (181, 487) of distance 734.4603461045394 away
2024-06-13 15:21:30,284 Attacking (243, 539) of distance 671.4290729481409 away
2024-06-13 15:21:30,549 Moving to hill: (239, 661)
2024-06-13 15:21:30,657 Attacking (324, 538) of distance 597.8202070857091 away
2024-06-13 15:21:30,903 Attacking (377, 540) of distance 542.3882373355823 away
2024-06-13 15:21:31,015 Moving to hill: (369, 488)
2024-06-13 15:21:31,120 Attacking (420, 554) of distance 499.52477416040136 away
2024-06-13 15:21:31,322 Attacking (440, 481) of distance 467.8001710132223 away
2024-06-13 15:21:31,442 Moving to hill: (459, 469)
2024-06-13 15:21:31,553 Attacking (496, 458) of distance 409.23953865676276 away
2024-06-13 15:21:31,771 Attacking (569, 437) of distance 339.42598604113977 away
2024-06-13 15:21:31,892 Moving to hill: (544, 484)
2024-06-13 15:21:32,003 Attacking (612, 422) of distance 301.37849956491584 away
2024-06-13 15:21:32,238 Attacking (640, 404) of distance 296.1840643923977 away
2024-06-13 15:21:32,340 Moving to hill: (638, 505)
2024-06-13 15:21:32,440 Attacking (614, 419) of distance 326.4965543462901 away
2024-06-13 15:21:32,655 Attacking (665, 452) of distance 271.9191056178289 away
2024-06-13 15:21:32,772 Moving to hill: (665, 575)
2024-06-13 15:21:32,875 Attacking (727, 443) of distance 199.37151250868317 away
2024-06-13 15:21:33,090 Attacking (785, 452) of distance 133.4541119636259 away
2024-06-13 15:21:33,208 Moving to hill: (780, 575)
2024-06-13 15:21:33,311 Attacking (839, 475) of distance 74.33034373659252 away
2024-06-13 15:21:33,545 Attacking (887, 474) of distance 73.3348484691964 away
2024-06-13 15:21:33,671 Moving to hill: (823, 546)
2024-06-13 15:21:33,779 Attacking (823, 469) of distance 125.39936203984452 away
2024-06-13 15:21:33,997 Attacking (748, 464) of distance 124.31009613060397 away
2024-06-13 15:21:34,128 Moving to hill: (717, 539)
2024-06-13 15:21:34,242 Attacking (765, 507) of distance 73.348483283569 away
2024-06-13 15:21:34,464 Attacking (809, 568) of distance 54.3323108288245 away
2024-06-13 15:21:34,593 Moving to hill: (785, 703)
2024-06-13 15:21:34,694 Attacking (773, 508) of distance 58.60034129593444 away
2024-06-13 15:21:34,913 Attacking (759, 434) of distance 41.10960958218893 away
2024-06-13 15:21:35,028 Moving to hill: (775, 509)
2024-06-13 15:21:35,130 Attacking (776, 408) of distance 34.43835071544513 away
2024-06-13 15:21:35,346 Attacking (820, 422) of distance 80.08120878208571 away
2024-06-13 15:21:35,465 Moving to hill: (903, 582)
2024-06-13 15:21:35,577 Attacking (805, 467) of distance 141.06027080648897 away
2024-06-13 15:21:35,793 Attacking (943, 393) of distance 122.40914998479484 away
2024-06-13 15:21:35,946 Moving to hill: (913, 629)
2024-06-13 15:21:36,057 Attacking (871, 449) of distance 110.01818031580052 away
2024-06-13 15:21:36,289 Attacking (817, 443) of distance 140.54536634126364 away
2024-06-13 15:21:36,401 Moving to hill: (782, 557)
2024-06-13 15:21:36,508 Attacking (785, 464) of distance 119.41942890501528 away
2024-06-13 15:21:36,724 Attacking (821, 508) of distance 96.42613753542138 away
2024-06-13 15:21:36,854 Moving to hill: (730, 695)
2024-06-13 15:21:36,957 Attacking (773, 501) of distance 68.09552114493287 away
2024-06-13 15:21:37,173 Attacking (695, 469) of distance 53.15072906367325 away
2024-06-13 15:21:37,311 Moving to hill: (644, 623)
2024-06-13 15:21:37,423 Attacking (650, 430) of distance 162.74212730574712 away
2024-06-13 15:21:37,641 Attacking (681, 427) of distance 133.7647188162858 away
2024-06-13 15:21:37,757 Moving to hill: (677, 503)
2024-06-13 15:21:37,860 Attacking (715, 432) of distance 100.08995953640904 away
2024-06-13 15:21:38,079 Attacking (716, 422) of distance 103.31021246711286 away
2024-06-13 15:21:38,179 Moving toward ally at (1212, 481)
2024-06-13 15:21:38,281 Attacking (711, 417) of distance 110.05907504608605 away
2024-06-13 15:21:38,488 Attacking (712, 412) of distance 111.64676439557037 away
2024-06-13 15:21:38,585 Moving to hill: (674, 497)
2024-06-13 15:21:38,674 Detected game mode/map None SAHA
2024-06-13 15:21:38,687 Attacking (725, 412) of distance 100.68763578513501 away
2024-06-13 15:21:38,905 Attacking (744, 422) of distance 79.40403012442127 away
2024-06-13 15:21:39,108 Attacking (729, 403) of distance 102.9417310909429 away
2024-06-13 15:21:39,154 Moving to hill: (673, 496)
2024-06-13 15:21:39,309 Attacking (694, 395) of distance 135.91173606425605 away
2024-06-13 15:21:39,529 Attacking (666, 396) of distance 159.66527487215248 away
2024-06-13 15:21:39,632 Moving to hill: (608, 511)
2024-06-13 15:21:39,746 Attacking (627, 397) of distance 194.79476378999513 away
2024-06-13 15:21:39,963 Attacking (603, 419) of distance 211.00947846009194 away
2024-06-13 15:21:40,087 Moving to hill: (674, 496)
2024-06-13 15:21:40,193 Attacking (580, 676) of distance 307.9496712126837 away
2024-06-13 15:21:40,478 Moving to hill: (674, 496)
2024-06-13 15:21:40,503 Attacking (619, 649) of distance 261.0 away
2024-06-13 15:21:40,720 Attacking (653, 626) of distance 220.62184841941655 away
2024-06-13 15:21:40,952 Attacking (684, 605) of distance 184.04347312523745 away
2024-06-13 15:21:41,067 Moving to hill: (674, 496)
2024-06-13 15:21:41,170 Attacking (700, 589) of distance 161.44348856488455 away
2024-06-13 15:21:41,373 Attacking (711, 576) of distance 144.42298985964803 away
2024-06-13 15:21:41,482 Moving to hill: (674, 496)
2024-06-13 15:21:41,588 Attacking (723, 547) of distance 115.36463929644992 away
2024-06-13 15:21:41,789 Attacking (721, 529) of distance 105.68348972285122 away
2024-06-13 15:21:41,902 Moving to hill: (674, 496)
2024-06-13 15:21:42,009 Attacking (710, 513) of distance 107.42439201596629 away
2024-06-13 15:21:42,212 Attacking (706, 493) of distance 104.78549517943787 away
2024-06-13 15:21:42,315 Moving to hill: (722, 567)
2024-06-13 15:21:42,415 Attacking (704, 479) of distance 104.4796630928718 away
2024-06-13 15:21:42,616 Attacking (696, 456) of distance 112.75194011634568 away
2024-06-13 15:21:42,762 Moving to hill: (674, 498)
2024-06-13 15:21:42,835 Attacking (681, 431) of distance 132.5631924781536 away
2024-06-13 15:21:43,053 Attacking (667, 409) of distance 153.2351134694656 away
2024-06-13 15:21:43,260 Moving to hill: (666, 496)
2024-06-13 15:21:43,272 Attacking (666, 383) of distance 166.01204775557707 away
2024-06-13 15:21:43,472 Attacking (670, 358) of distance 177.1016657177453 away
2024-06-13 15:21:43,674 Attacking (674, 335) of distance 189.50461735799476 away
2024-06-13 15:21:43,771 Moving to hill: (674, 496)
2024-06-13 15:21:43,876 Attacking (677, 323) of distance 196.15555052049893 away
2024-06-13 15:21:44,073 Detected game mode/map None SAHA
2024-06-13 15:21:44,093 Attacking (681, 317) of distance 198.07321878537746 away
2024-06-13 15:21:44,282 Attacking (709, 291) of distance 203.67866849525507 away
2024-06-13 15:21:44,388 Moving to hill: (674, 496)
2024-06-13 15:21:44,498 Attacking (617, 419) of distance 197.436065600994 away
2024-06-13 15:21:44,763 Attacking (644, 421) of distance 170.88007490635061 away
2024-06-13 15:21:44,862 Moving to hill: (674, 496)
2024-06-13 15:21:44,966 Attacking (622, 398) of distance 199.090431713832 away
2024-06-13 15:21:45,183 Attacking (618, 398) of distance 202.83244316430248 away
2024-06-13 15:21:45,282 Moving to hill: (674, 496)
2024-06-13 15:21:45,655 Moving toward ally at (83, 184)
2024-06-13 15:21:45,773 Attacking (30, 144) of distance 944.3225084683728 away
2024-06-13 15:21:45,882 Attacking (39, 143) of distance 936.9749196216512 away
2024-06-13 15:21:45,992 Attacking (39, 154) of distance 933.1886197334385 away
2024-06-13 15:21:46,042 Moving toward ally at (103, 184)
2024-06-13 15:21:46,100 Attacking (38, 160) of distance 931.70166899067 away
2024-06-13 15:21:46,210 Attacking (50, 163) of distance 919.1049994423923 away
2024-06-13 15:21:46,317 Attacking (62, 167) of distance 904.8032935395406 away
2024-06-13 15:21:46,426 Attacking (70, 169) of distance 896.2332285739019 away
2024-06-13 15:21:46,433 Moving toward ally at (168, 194)
2024-06-13 15:21:46,533 Attacking (92, 172) of distance 873.7373747299587 away
2024-06-13 15:21:46,643 Attacking (106, 173) of distance 861.0929102019132 away
2024-06-13 15:21:46,752 Attacking (115, 177) of distance 851.3189766474139 away
2024-06-13 15:21:46,821 Moving toward ally at (206, 190)
2024-06-13 15:21:46,862 Attacking (117, 197) of distance 843.5650538043881 away
2024-06-13 15:21:46,968 Attacking (112, 210) of distance 851.7118057183428 away
2024-06-13 15:21:47,077 Attacking (102, 211) of distance 867.8271717340959 away
2024-06-13 15:21:47,187 Attacking (100, 214) of distance 871.6742510823639 away
2024-06-13 15:21:47,207 Moving toward ally at (201, 177)
2024-06-13 15:21:47,295 Attacking (98, 226) of distance 870.3562489004142 away
2024-06-13 15:21:47,405 Attacking (98, 234) of distance 869.1357776550221 away
2024-06-13 15:21:47,513 Attacking (100, 254) of distance 863.9033510758019 away
2024-06-13 15:21:47,598 Moving toward ally at (216, 220)
2024-06-13 15:21:47,622 Attacking (104, 276) of distance 855.696792094022 away
2024-06-13 15:21:47,732 Attacking (107, 289) of distance 850.6850180883639 away
2024-06-13 15:21:47,838 Attacking (113, 317) of distance 839.2216632094289 away
2024-06-13 15:21:47,948 Attacking (117, 332) of distance 833.6576035759525 away
2024-06-13 15:21:47,983 Moving to hill: (73, 461)
2024-06-13 15:21:48,058 Attacking (121, 346) of distance 829.3979744368804 away
2024-06-13 15:21:48,166 Attacking (129, 378) of distance 820.2353320846402 away
2024-06-13 15:21:48,276 Attacking (125, 395) of distance 823.5107771000935 away
2024-06-13 15:21:48,383 Attacking (124, 425) of distance 822.0006082722809 away
2024-06-13 15:21:48,390 Moving to hill: (116, 387)
2024-06-13 15:21:48,494 Attacking (120, 439) of distance 821.1370165812767 away
2024-06-13 15:21:48,602 Attacking (103, 472) of distance 832.385127209755 away
2024-06-13 15:21:48,713 Attacking (96, 485) of distance 838.1503445086687 away
2024-06-13 15:21:48,779 Moving to hill: (35, 616)
2024-06-13 15:21:48,820 Attacking (194, 201) of distance 769.3321779309637 away
2024-06-13 15:21:48,930 Attacking (199, 206) of distance 762.1423751504702 away
2024-06-13 15:21:49,038 Attacking (209, 217) of distance 748.4817967058384 away
2024-06-13 15:21:49,148 Attacking (213, 221) of distance 742.5712087066129 away
2024-06-13 15:21:49,171 Moving to hill: (154, 436)
2024-06-13 15:21:49,400 Detected game mode/map None SAHA
2024-06-13 15:21:49,713 Moving to hill: (126, 579)
2024-06-13 15:21:49,818 Attacking (376, 132) of distance 646.7781690811773 away
2024-06-13 15:21:50,088 Moving to hill: (138, 603)
2024-06-13 15:21:50,159 Attacking (435, 152) of distance 600.6371616874866 away
2024-06-13 15:21:50,393 Attacking (466, 164) of distance 569.9561386633186 away
2024-06-13 15:21:50,507 Moving to hill: (229, 600)
2024-06-13 15:21:50,596 Attacking (518, 183) of distance 526.9316843766372 away
2024-06-13 15:21:50,812 Attacking (546, 197) of distance 490.881859514079 away
2024-06-13 15:21:50,924 Moving to hill: (285, 600)
2024-06-13 15:21:51,028 Attacking (566, 208) of distance 467.9754267052919 away
2024-06-13 15:21:51,232 Attacking (602, 226) of distance 429.2225529955293 away
2024-06-13 15:21:51,361 Moving to hill: (357, 607)
2024-06-13 15:21:51,462 Attacking (612, 239) of distance 411.9927183822549 away
2024-06-13 15:21:51,681 Attacking (631, 262) of distance 378.8667311865743 away
2024-06-13 15:21:51,792 Moving to hill: (456, 613)
2024-06-13 15:21:51,895 Attacking (656, 286) of distance 347.8965363437814 away
2024-06-13 15:21:52,113 Attacking (678, 308) of distance 316.4316671889841 away
2024-06-13 15:21:52,228 Moving to hill: (542, 616)
2024-06-13 15:21:52,331 Attacking (693, 323) of distance 296.24989451474914 away
2024-06-13 15:21:52,532 Attacking (714, 346) of distance 266.101484400219 away
2024-06-13 15:21:52,649 Moving to hill: (638, 619)
2024-06-13 15:21:52,749 Attacking (98, 577) of distance 727.0990303940721 away
2024-06-13 15:21:52,858 Attacking (102, 582) of distance 720.0340269737258 away
2024-06-13 15:21:52,967 Attacking (153, 583) of distance 667.026985960838 away
2024-06-13 15:21:53,072 Moving to hill: (727, 624)
2024-06-13 15:21:53,403 Attacking (434, 486) of distance 456.0175435221763 away
2024-06-13 15:21:53,674 Moving to hill: (953, 496)
2024-06-13 15:21:53,713 Attacking (557, 454) of distance 357.34717013011306 away
2024-06-13 15:21:53,962 Attacking (617, 444) of distance 330.96374423794515 away
2024-06-13 15:21:54,182 Attacking (638, 439) of distance 344.2165016381405 away
2024-06-13 15:21:54,285 Moving to hill: (969, 480)
2024-06-13 15:21:54,397 Attacking (629, 440) of distance 363.9890108231291 away
2024-06-13 15:21:54,600 Attacking (618, 442) of distance 346.7636082405418 away
2024-06-13 15:21:54,703 Moving to hill: (990, 580)
2024-06-13 15:21:54,803 Attacking (636, 449) of distance 305.026228380446 away
2024-06-13 15:21:55,006 Attacking (672, 458) of distance 271.0903908293321 away
2024-06-13 15:21:55,121 Moving to hill: (968, 587)
2024-06-13 15:21:55,223 Attacking (702, 448) of distance 253.17977802344328 away
2024-06-13 15:21:55,425 Attacking (722, 442) of distance 241.62988225796906 away
